FrameNum,Theta,lumenEccentricity,lumenArea,lumenCircularity,AvgI,smoothness,uniformity,homogeneity,contrast,entropy,BeamDepth,initimalArea,MediaDepth,mediaArea,mediaDepth,AdArea,AdDepth
346,32,0.88779347650923,11947,31.1176141900896,70.1393784166061,0.999937732039655,0.812959195196306,1.80672579613066,126.722624309853,0.5579779070669,415.222222222222,320,5.07936507936508,2187,34.7142857142857,9758,154.888888888889
346,96,0.88779347650923,11947,31.1176141900896,70.8951161202186,0.999923396603026,0.785169213678372,1.61154720973584,114.250826567437,0.619017264159939,464.761904761905,601,9.53968253968254,2796,44.3809523809524,11161,177.15873015873
346,160,0.88779347650923,11947,31.1176141900896,48.9252255076098,0.999905302455138,0.871675260847208,2.10028020804258,102.756682807653,0.423476012315182,455.761904761905,14,0.222222222222222,1971,31.2857142857143,8483,134.650793650794
346,224,0.88779347650923,11947,31.1176141900896,75.2174470814625,0.999933949120489,0.893180728992829,1.63579081446454,123.040009023329,0.330236792027225,519.666666666667,-62,-0.984126984126984,2530,40.1587301587302,12788,202.984126984127
346,288,0.88779347650923,11947,31.1176141900896,40.4801551531044,0.999964795544532,0.987601943059031,4.16343099784741,168.536332762107,0.0578358053122649,581.095238095238,769,12.2063492063492,2232,35.4285714285714,5684,90.2222222222222
346,352,0.88779347650923,11947,31.1176141900896,24.7073574494175,0.999489160453026,0.898271185465842,1.79027806402878,44.2330400618102,0.345953308215574,517.777777777778,521,8.26984126984127,3254,51.6507936507937,7264,115.301587301587
346,416,0.88779347650923,11947,31.1176141900896,49.4426885743439,0.999907212217523,0.919490372489189,2.09957974301,103.808867370644,0.280208283215494,606.68253968254,289,4.58730158730159,1715,27.2222222222222,12115,192.301587301587
346,480,0.88779347650923,11947,31.1176141900896,71.6776416931434,0.999959287512564,0.881516290146974,2.18647055199852,156.721052798759,0.378002682996829,696.928571428571,83,1.48214285714286,2643,47.1964285714286,10518,187.821428571429
347,32,0.892255953673101,12429,30.4782685204763,67.5459097240523,0.99993170841891,0.791929485623885,1.79144108905991,121.004518077598,0.619663645883246,421.634920634921,813,12.9047619047619,1900,30.1587301587302,9185,145.793650793651
347,96,0.892255953673101,12429,30.4782685204763,64.5184774233318,0.999922114573892,0.854091041750397,1.75618748005385,113.306542282992,0.44834404709875,515,1029,16.3333333333333,2543,40.3650793650794,10504,166.730158730159
347,160,0.892255953673101,12429,30.4782685204763,33.1844177064765,0.99984845382546,0.932686086287047,2.4477124637211,81.2259128214696,0.243968606161179,641.142857142857,50,0.793650793650794,5623,89.2539682539683,8330,132.222222222222
347,224,0.892255953673101,12429,30.4782685204763,57.3464414904241,0.999921354443987,0.972328655135004,1.96625280056513,112.757601182991,0.106076876279708,715.253968253968,8,0.126984126984127,2711,43.031746031746,12831,203.666666666667
347,288,0.892255953673101,12429,30.4782685204763,33.9495462714384,0.999960488034172,0.99141827480714,4.68590119219836,159.084219347927,0.0412863454303556,715.412698412698,728,11.5555555555556,2340,37.1428571428571,5437,86.3015873015873
347,352,0.892255953673101,12429,30.4782685204763,24.2458414278776,0.999509165616052,0.921084965574206,1.86118113073193,45.1259025642843,0.273478895919446,522.920634920635,490,7.77777777777778,2309,36.6507936507937,7294,115.777777777778
347,416,0.892255953673101,12429,30.4782685204763,46.0429762322281,0.999884411843646,0.899350907243,2.02001615046364,93.0075556045144,0.347765650295464,588.365079365079,466,7.3968253968254,1757,27.8888888888889,11604,184.190476190476
347,480,0.892255953673101,12429,30.4782685204763,73.4916737153732,0.999960533804641,0.862557869839887,2.16591126946985,159.176444312328,0.440195895266492,675.571428571429,429,7.66071428571429,2140,38.2142857142857,10940,195.357142857143
